X,Y,FID,OGF_ID,MOH_PRO_ID,SERV_TYPE,SERV_DET,EN_NAME,FR_NAME,EN_ALT,FR_ALT,ADDRESS_1,ADDRESS_2,ADDR_DESCR,COMMUNITY,POSTALCODE,GEO_UPT_DT,EFF_DATE
-79.3987046939999,43.7100753940001,28,127907390,8733,Pharmacy,RP,Yonge Drug Mart, , , ,2399 Yonge Street,Unit 104, ,Toronto,M4P2E7, ,20200403204244
-79.390084787,43.657543886,30,127906395,7750,Mental Health and Addiction Organization,Mental Health Services,Sinai Health System, , , ,600 University Avenue,9th Floor,Administrative Office,Toronto,M5G1X5, ,20200403204244
-79.292238669,43.813538017,32,127906396,8112,Mental Health and Addiction Organization,Mental Health Services,Sinai Health System, , , ,3660 Midland Avenue,Suite 103,Practice Location,Toronto,M1V0B8, ,20200403204244
-79.391824887,43.6578119850001,33,127906397,13317,Mental Health and Addiction Organization,Mental Health Services,Sinai Health System, , , ,60 Murray Street,"Joseph and Wolf Lebovic Health Complex, L1-012",Practice Location,Toronto,M5T3L9, ,20200403204244
-79.2330439469999,43.777331114,34,127906398,3130,Mental Health and Addiction Organization,Mental Health Services,Canadian Mental Health Association (CMHA) Toronto Branch, , , ,1200 Markham Road,Suite 500,Practice Location,Toronto,M1H3C3, ,20200403204244
-79.44725761,43.716656893,35,127906399,3132,Mental Health and Addiction Organization,Mental Health Services,Canadian Mental Health Association (CMHA) Toronto Branch, , , ,700 Lawrence Avenue West,"Suite 480, Lawrence Square",Administration and Practice Location,Toronto,M6A3B4, ,20200403204244
-79.45281331,43.7020157900001,36,127906400,3133,Mental Health and Addiction Organization,Mental Health Services,Canadian Mental Health Association (CMHA) Toronto Branch, , , ,2700 Dufferin Street,Suite 90,Practice Location,Toronto,M6B4J3, ,20200403204244
-79.470871919,43.730081694,37,127906401,14312,Mental Health and Addiction Organization,Mental Health Services,Canadian Mental Health Association (CMHA) Toronto Branch, , , ,940 Wilson Avenue, ,Practice Location,Toronto,M3K1E7, ,20200403204244
-79.452548306,43.6559642820001,38,127906402,21779,Mental Health and Addiction Organization,Mental Health Services,Canadian Mental Health Association (CMHA) Toronto Branch, , , ,2333 Dundas Street West,Suite 501,Practice Location,Toronto,M6R3A6, ,20200403204244
-79.227109442,43.7406784080001,39,127906403,23331,Mental Health and Addiction Organization,Mental Health Services,Canadian Mental Health Association (CMHA) Toronto Branch, , , ,140 Adanac Drive,Suite 108,Practice Location,Toronto,M1M2E8, ,20200403204244
-79.453500606,43.653971482,40,127906404,30596,Mental Health and Addiction Organization,Mental Health Services,Canadian Mental Health Association (CMHA) Toronto Branch, , , ,7 Radford Avenue, ,Practice Location,Toronto,M6R1Z5, ,20200403204244
-79.372017381,43.6622990870001,41,127906405,3140,Mental Health and Addiction Organization,Mental Health Services,Sherbourne Health Centre, , , ,333 Sherbourne Street, ,Administration and Practice Location,Toronto,M5A2S5, ,20200403204244
-79.461774839,43.98810274,43,127906410,3152,Mental Health and Addiction Organization,Mental Health Services,York Support Services Network, , , ,240 Edward Street,Suite 3,Administration and Practice Location,Aurora,L4G3S9, ,20200403204244
-79.3586119939999,43.8547990220001,44,127906411,3154,Mental Health and Addiction Organization,Mental Health Services,York Support Services Network, , , ,50 McIntosh Drive,Suite 239,Practice Location,Markham,L3R9T3, ,20200403204244
-79.872624285,44.1534646490001,45,127906413,30609,Mental Health and Addiction Organization,Mental Health Services,York Support Services Network, , , ,106 Victoria Street West, ,Practice Location,New Tecumseth,L9R1L7, ,20200403204244
-80.214383727,44.5002802920001,46,127906414,3166,Mental Health and Addiction Organization,Mental Health Services,Simcoe Peer Support for Mental Health and Addictions, , , ,41 Elgin Street,Suite 201,Administration and Practice Location,Collingwood,L9Y3L6, ,20200403204244
-76.5286557109999,44.216007211,47,127906415,3176,Mental Health and Addiction Organization,Mental Health Services,Providence Care, , , ,752 King Street West, ,Administration and Practice Location,Kingston,K7L4X3, ,20200403204244
-76.568221528,44.2676051180001,48,127906416,4127,Mental Health and Addiction Organization,Mental Health Services,Providence Care, , , ,640 Cataraqui Woods Drive,Suite 2,Practice Location,Kingston,K7P2Y5, ,20200403204244
-77.3533718749999,44.1683399670001,49,127906417,4128,Mental Health and Addiction Organization,Mental Health Services,Providence Care, , , ,470 Dundas Street East, ,Practice Location,Belleville,K8N1G1, ,20200403204244
-75.688628867,44.5976793130001,50,127906418,4129,Mental Health and Addiction Organization,Mental Health Services,Providence Care, , , ,25 Front Avenue West,Suite 2,Practice Location,Brockville,K6V4J2, ,20200403204244
-76.506844706,44.240902616,51,127906419,4130,Mental Health and Addiction Organization,Mental Health Services,Providence Care, , , ,234 Concession Street,Suite 301,Practice Location,Kingston,K7K6W6, ,20200403204244
-76.4870751,44.245590318,52,127906420,4131,Mental Health and Addiction Organization,Mental Health Services,Providence Care, , , ,533 Montreal Street, ,Practice Location,Kingston,K7K3H9, ,20200403204244
-76.4864484,44.2454167180001,53,127906421,4132,Mental Health and Addiction Organization,Mental Health Services,Providence Care, , , ,525 Montreal Street, ,Practice Location,Kingston,K7K3H9, ,20200403204244
-76.68994651,44.7704312010001,54,127906422,4375,Mental Health and Addiction Organization,Mental Health Services,Providence Care, , , ,1020 Elizabeth Street, ,Practice Location,Sharbot Lake,K0H2P0, ,20200403204244
-76.9556814539999,44.2602119000001,55,127906423,13027,Mental Health and Addiction Organization,Mental Health Services,Providence Care, , , ,111 Industrial Boulevard, ,Practice Location,Napanee,K7R3Z1, ,20200403204244
-76.951428651,44.2467356980001,56,127906424,22542,Mental Health and Addiction Organization,Mental Health Services,Providence Care, , , ,26 Dundas Street West, ,Practice Location,Napanee,K7R1Z4, ,20200403204244
-76.4838027979999,44.232226316,57,127906425,30360,Mental Health and Addiction Organization,Mental Health Services,Providence Care, , , ,303 Bagot Street,Suite 300,Practice Location,Kingston,K7K5W7, ,20200403204244
-80.949931089,43.732410224,59,127906427,3179,Mental Health and Addiction Organization,Mental Health Services,Stratford General Hospital, , , ,285 Sarah Avenue North, ,Practice Location,Listowel,N4W2Y8, ,20200403204244
-81.386626309,43.5505572710001,60,127906428,3180,Mental Health and Addiction Organization,Mental Health Services,Stratford General Hospital, , , ,28 Centennial Drive, ,Practice Location,Huron East,N0K1W0, ,20200403204244
-79.365711679,43.658532587,61,127906429,3186,Mental Health and Addiction Organization,Mental Health Services,Sound Times Support Services of Metropolitan Toronto, , , ,280 Parliament Street, ,Administration and Practice Location,Toronto,M5A3A4, ,20200403204244
-78.3474884079999,44.2999597460001,63,127906431,3198,Mental Health and Addiction Organization,Mental Health Services,Peterborough Regional Health Centre, , , ,1 Hospital Drive, ,Administration and Practice Location,Peterborough,K9J7C6, ,20200403204244
-78.3203159999999,44.3017999470001,64,127906432,30229,Mental Health and Addiction Organization,Addiction Services,Peterborough Regional Health Centre, , , ,159 King Street,Suite 302 - 2,Practice Location,Peterborough,K9J2R8, ,20200403204244
-79.3306541699999,43.681580092,65,127906433,3200,Mental Health and Addiction Organization,Mental Health Services,East York Mental Health Counselling Services Agency, , , ,1245 Danforth Avenue, ,Administration and Practice Location,Toronto,M4J1M8, ,20200403204244
-79.3747085809999,43.6496391850001,66,127906434,3212,Mental Health and Addiction Organization,Mental Health Services,Schizophrenia Society of Ontario, , , ,95 King Street East,Suite 300,Administration and Practice Location,Toronto,M5C1G4, ,20200403204244
-75.7298003459999,45.3885381480001,69,127906437,3218,Mental Health and Addiction Organization,Mental Health Services,Schizophrenia Society of Ontario, , , ,1145 Carling Avenue,c/o ROH,Practice Location,Ottawa,K1Z7K4, ,20200403204244
-81.325381325,48.4735836680001,71,127906439,3224,Mental Health and Addiction Organization,Mental Health Services,Canadian Mental Health Association (CMHA) Cochrane Timiskaming Branch, , , ,330 Second Avenue,Suite 201,Administration and Practice Location,Timmins,P4N8A4, ,20200403204244
-80.0330511559999,48.1497620900001,72,127906440,3225,Mental Health and Addiction Organization,Addiction Services and Mental Health Services,Canadian Mental Health Association (CMHA) Cochrane Timiskaming Branch, , , ,5 Kirkland Street West, ,Practice Location,Kirkland Lake,P2N1N9, ,20200403204244
-79.6705104609999,47.5082172100001,73,127906441,3226,Mental Health and Addiction Organization,Addiction Services and Mental Health Services,Canadian Mental Health Association (CMHA) Cochrane Timiskaming Branch, , , ,20 May Street South,Centre de santé communautaire du Témiskaming,Practice Location,Temiskaming Shores,P0J1P0, ,20200403204244
-75.768415848,45.2603845240001,74,127906442,2356,Pharmacy,RP,Cedarview Guardian Pharmacy, , , ,4100 Strandherd Drive,Unit 12, ,Ottawa,K2J0V2, ,20200403204244
-74.608814391,45.59866013,75,127906443,2358,Pharmacy,RP,Pharmacie Jean Coutu #484, , , ,1062 Ghislain Street, , ,Hawkesbury,K6A3B2, ,20200403204244
-77.979560297,44.382359277,76,127906444,2361,Pharmacy,RP,Centennial Pharmacy, , , ,2375 County Rd45,Unit A, ,Norwood,K0L2V0, ,20200403204244
-75.496391575,45.4587576700001,78,127906446,2367,Pharmacy,RP,Orleans Pharmacy, , , ,4275 Innes Road, , ,Ottawa,K1C1T1, ,20200403204244
-79.381312494,43.768539205,80,127906448,2370,Pharmacy,RP,St Gabriel Medical Pharmacy, , , ,650 Sheppard Avenue East, , ,Toronto,M2K3E4, ,20200403204244
-79.4364267,43.64090428,81,127906449,2382,Pharmacy,RP,Vina Pharmacy, , , ,1460 Queen Street West, , ,Toronto,M6K1M2, ,20200403204244
-75.781749158,45.330900236,82,127906450,2384,Pharmacy,AS,Allergom Allergy Extracts Inc, , , ,139 Greenbank Road,Unit 105, ,Ottawa,K2H9A5, ,20200403204244
-76.9497102509999,44.2479620980001,83,127906451,2386,Pharmacy,RP,Wallace's Drug Store Ltd, , , ,27 Dundas Street East, , ,Napanee,K7R3M3, ,20200403204244
-75.690834436,45.4181788550001,84,127906452,2395,Pharmacy,AS,Vira Laboratories, , , ,256 Elgin Street, , ,Ottawa,K2P1L9, ,20200403204244
-75.454568662,45.468586873,85,127906453,2396,Pharmacy,RP,St Mary Health Centre Pharmacy, , , ,2010 Trim Road, , ,Ottawa,K4A0G4, ,20200403204244
-79.525435334,43.702840887,87,127906455,2410,Pharmacy,RP,Main Drug Mart, , , ,2160 Weston Road, , ,Toronto,M9N1X6, ,20200403204244
-79.1926785329999,43.766539014,88,127906456,2411,Pharmacy,AS,O.P. Laboratories, , , ,4125 Lawrence Avenue East,Unit 200, ,Toronto,M1E2S2, ,20200403204244
-79.278368254,43.689158896,89,127906457,2412,Pharmacy,RP,Main Drug Mart, , , ,2560 Gerrard Street East, , ,Toronto,M1N1W8, ,20200403204244
-79.4922706249999,43.722328792,91,127906459,2419,Pharmacy,RP,Wellcare Union Medical Phcy, , , ,1263 Wilson Avenue,Unit 110, ,Toronto,M3M3G3, ,20200403204244
-79.338693183,43.8071151140001,92,127906460,2420,Pharmacy,RP,Dom's Pharmacy, , , ,3630 Victoria Park Avenue, , ,Toronto,M2H3B2, ,20200403204244
-79.4480177409999,44.0617767530001,93,127906461,2422,Pharmacy,AS,Allergy & Asthma Service, , , ,712 Davis Drive,Unit 203, ,Newmarket,L3Y8C3, ,20200403204244
-78.938435663,43.899534149,94,127906462,2423,Pharmacy,RP,Whitby Community Ida, , , ,701 Rossland Road East,Unit 5, ,Whitby,L1N8Y9, ,20200403204244
-79.289420666,43.7840031120001,95,127906463,2424,Pharmacy,RP,Shoppers Drug Mart #1388, , , ,2330 Kennedy Road, , ,Toronto,M1T3H1, ,20200403204244
-75.6631040249999,45.3944937520001,96,127906464,2425,Pharmacy,AS,"Katz, Mortimer Dr", , , ,2020 Alta Vista Drive, , ,Ottawa,K1H7L1, ,20200403204244
-79.735900296,43.6502978680001,97,127906465,2426,Pharmacy,RP,Nanaksar Pharmacy, , , ,511 Raylawson Boulevard,Unit  102, ,Brampton,L6Y0N2, ,20200403204244
-79.3361781799999,43.775405709,100,127906468,2439,Pharmacy,AS,Wingwin Laboratories, , , ,2035 Sheppard Avenue East,Unit 3A, ,Toronto,M2J0A8, ,20200403204244
-79.4488150559999,46.2838120260001,101,127906469,2441,Pharmacy,RP,Shoppers Drug Mart #664, , , ,276 Lakeshore Drive, , ,North Bay,P1A2C2, ,20200403204244
-75.625014112,45.401708655,102,127906470,2447,Pharmacy,AS,Galvtex Corporation, , , ,1929 Russell Road,Unit 208, ,Ottawa,K1G4G3, ,20200403204244
-79.7368346919999,43.5995330590001,103,127906471,2451,Pharmacy,AS,Amican Laboratories Inc, , , ,6517 Mississauga Road,"Unit A, Meadowvale Court", ,Mississauga,L5N1A6, ,20200403204244
-79.235863648,43.780999814,104,127906472,2455,Pharmacy,RP,Progress Place Pharmacy, , , ,885 Progress Avenue,Unit 111, ,Toronto,M1H3G3, ,20200403204244
-75.661519122,45.3680045470001,105,127906473,2458,Pharmacy,AS,Molot John Dr, , , ,1935 Bank Street, , ,Ottawa,K1V8A3, ,20200403204244
-79.0674626369999,44.2624031060001,106,127906474,2459,Pharmacy,RP,Sunderland Pharmacy Ltd, , , ,103 River Street, , ,Sunderland,L0C1H0, ,20200403204244
-79.488792427,43.7644571000001,107,127906475,2460,Pharmacy,RP,Nor-Arm Pharmacy, , , ,1280 Finch Avenue West,Unit 107, ,Toronto,M3J3K6, ,20200403204244
-79.517856626,43.6457663780001,108,127906476,2461,Pharmacy,AS,Aylest Allergy Laboratory Ltd, , , ,3267 Bloor Street West, , ,Toronto,M8X1E2, ,20200403204244
-79.56056354,43.646547776,110,127906478,2465,Pharmacy,AS,Medicarlab Diagnostic Lab Ltd, , , ,400 The East Mall, , ,Toronto,M9B3Z9, ,20200403204244
-79.3720446949999,44.908420402,111,127906479,2466,Pharmacy,RP,Sobey's Pharmacy #7249, , , ,255 Edward Street, , ,Gravenhurst,P1P1K8, ,20200403204244
-79.324674773,43.7408448030001,115,127906483,2479,Pharmacy,AS,Don-Al Lab Services Ltd, , , ,1200 Lawrence Avenue East,Suite 303, ,Toronto,M3A1C1, ,20200403204244
-76.4928809,44.224282514,116,127906484,2483,Pharmacy,AS,"Day, James H Dr", , , ,76 Stuart Street,Division of Allergy - Kgh, ,Kingston,K7L2V7, ,20200403204244
-75.7022910709999,44.591737111,117,127906485,2484,Pharmacy,RP,Brockville Medical Pharmacy, , , ,100 Strowger Boulevard,Unit 108, ,Brockville,K6V5J9, ,20200403204244
-78.961875772,43.9160548510001,118,127906486,2486,Pharmacy,RP,Loblaw Pharmacy #1058, , , ,200 Taunton Road West, , ,Whitby,L1R3H8, ,20200403204244
-79.653639363,43.5766582590001,119,127906487,2491,Pharmacy,RP,Mavis Pharmacy, , , ,790 Burnhamthorpe Road,Unit 2, ,Mississauga,L5C4G3, ,20200403204244
-79.449800105,43.6556206820001,120,127906488,2496,Pharmacy,RP,Loblaw Pharmacy # 1154, , , ,2280 Dundas Street West, , ,Toronto,M6R1X4, ,20200403204244
-81.5107105869999,43.9557830350001,121,127906489,2497,Pharmacy,LTCF,Pinecrest Manor, , , ,399 Bob Street,Drawer 220, ,Lucknow,N0G2H0, ,20200403204244
-79.700984077,43.5651899550001,122,127906490,2501,Pharmacy,RP,The Chase Pharmacy, , , ,1675 The Chase,Unit 1 & 2, ,Mississauga,L5M5A7, ,20200403204244
-79.487657314,43.617555974,123,127906491,2510,Pharmacy,RP,Akron Pharmacy, , , ,2318 Lake Shore Boulevard West, , ,Toronto,M8V1B5, ,20200403204244
-79.469597543,44.0034837420001,124,127906492,2517,Pharmacy,RP,Shoppers Drug Mart #955, , , ,15408 Yonge Street, , ,Aurora,L4G1N9, ,20200403204244
-79.248712769,43.971155347,126,127906494,2525,Pharmacy,RP,Stouffville Ida Pharmacy, , , ,6212 Main Street,Suite 102, ,Whitchurch-Stouffville,L4A2S5, ,20200403204244
-79.3728541959999,44.916026903,127,127906495,2526,Pharmacy,RP,Shoppers Drug Mart #1345, , , ,511 Muskoka Road South, , ,Gravenhurst,P1P1J8, ,20200403204244
-79.690195049,44.395130399,128,127906496,2529,Pharmacy,LTCF,Owen Hill Care Community, , , ,130 Owen Street, , ,Barrie,L4M3H7, ,20200403204244
-79.688441892,43.7720873920001,129,127906497,2534,Pharmacy,RP,Valley Creek Pharmacy, , , ,1975 Cottrelle Boulevard, , ,Brampton,L6P3A1, ,20200403204244
-79.2637029539999,43.751248408,130,127906498,2535,Pharmacy,RP,Maple Drug Mart, , , ,2645 Lawrence Avenue East,Unit 45, ,Toronto,M1P2S2, ,20200403204244
-79.790140921,43.7306744800001,131,127906499,2536,Pharmacy,RP,"Heart Lake, the Compounding Ce", , , ,230 Sandalwood Parkway East, , ,Brampton,L6Z1R3, ,20200403204244
-79.749889012,43.7817293900001,132,127906500,2540,Pharmacy,RP,Sobeys Pharmacy #7253, , , ,10970 Airport Road, , ,Brampton,L6R0E1, ,20200403204244
-79.147343421,43.798123321,134,127906502,2542,Pharmacy,AS,Ajax Allergy Services, , , ,Kingston Road,"Unit D, 5 - 1099", ,Pickering,L1V1B5, ,20200403204244
-79.608550749,43.5714272600001,135,127906503,2545,Pharmacy,HOPD,The Mississauga Hospital, , , ,100 Queensway West,Pharmacy Services Dept, ,Mississauga,L5B1B8, ,20200403204244
-79.671216171,43.6019722630001,138,127906506,2549,Pharmacy,RP,Bristol Pharmacy, , , ,512 Bristol Road,"Unit 10, B", ,Mississauga,L5R3Z2, ,20200403204244
-77.31915199,44.4711069210001,140,127906508,2556,Pharmacy,LTCF,Moira Place Ltc Home, , , ,415 River Street West, , ,Tweed,K0K3J0, ,20200403204244
-79.3996095059999,43.8416546170001,141,127906509,2569,Pharmacy,RP,Richmond Hill Pharmacy, , , ,328 Highway 7 East,Unit 22, ,Richmond Hill,L4B3P7, ,20200403204244
-79.324858169,43.6898712940001,142,127906510,2572,Pharmacy,RP,Toronto East Pharmasave, , , ,825 Coxwell Avenue,Room C114, ,Toronto,M4C3E7, ,20200403204244
-79.432851606,43.719325794,143,127906511,2576,Pharmacy,RP,Shoppers Drug Mart #809, , , ,3110 Bathurst Street, , ,Toronto,M6A2A1, ,20200403204244
-79.431723717,43.8548448180001,144,127906512,2578,Pharmacy,RP,The Drugstore Pharmacy #4356, , , ,9325 Yonge Street, , ,Richmond Hill,L4C1V4, ,20200403204244
-79.250665258,43.8356047230001,146,127906514,2591,Pharmacy,RP,Medicare Pharmacy, , , ,3341 Markham Road,Unit B109, ,Toronto,M1X0A5, ,20200403204244
-81.635488047,44.176289366,147,127906515,2598,Pharmacy,RP,Gordon Pharmasave, , , ,767 Queen Street, , ,Kincardine,N2Z2Z4, ,20200403204244
-79.279951367,43.830512621,148,127906516,2600,Pharmacy,RP,Hillcroft Pharmacy, , , ,5 Hillcroft Drive,Unit 7, ,Markham,L3S1R7, ,20200403204244
-79.448429117,43.791247706,149,127906517,2604,Pharmacy,RP,Concourse Pharmacy, , , ,1065 Steeles Avenue West,Suite ELES, ,Toronto,M2R2S9, ,20200403204244
-79.389679088,43.6708867880001,150,127906518,2605,Pharmacy,RP,Markie Pharmacy Ltd, , , ,1235 Bay Street, , ,Toronto,M5R3K4, ,20200403204244
-79.333353486,43.8584054230001,151,127906519,2611,Pharmacy,RP,The Drugstore Pharmacy #4256, , , ,8601 Warden Avenue, , ,Markham,L3R0B5, ,20200403204244
-75.767514755,45.34881684,152,127906520,2615,Pharmacy,RP,Specialty Rx, , , ,1 Centrepointe Drive, , ,Ottawa,K2G6E2, ,20200403204244
-79.442403357,46.3176722320001,154,127906522,2617,Pharmacy,RP,Loblaw Pharmacy  #4096, , , ,1 Laurentian Avenue, , ,North Bay,P1B9P2, ,20200403204244
-81.628331846,44.1862334680001,155,127906523,2620,Pharmacy,RP,Mckechnie Pharmacy Ltd, , , ,44 Queen Street, , ,Kincardine,N2Z3C1, ,20200403204244
-79.474695044,43.9988029410001,156,127906524,2621,Pharmacy,RP,Pharmasave Aurora, , , ,126 Wellington Street West, , ,Aurora,L4G2N9, ,20200403204244
-79.096698408,43.828606429,157,127906525,2626,Pharmacy,RP,Glendale Pharmacy, , , ,1101 Kingston Road,Unit 140, ,Pickering,L1V1B5, ,20200403204244
-79.458302827,43.8659213190001,159,127906527,2638,Pharmacy,RP,Don Head Pharmacy, , , ,205 Don Head Village Boulevard, , ,Richmond Hill,L4C7R3, ,20200403204244
-79.293808957,43.671490992,160,127906528,2641,Pharmacy,RP,Hooper's Pharmacy, , , ,2136 Queen Street East, , ,Toronto,M4E1E3, ,20200403204244
-78.340681306,44.2994743460001,163,127906531,2646,Pharmacy,RP,Westmount Pharmacy, , , ,1293 Cionsilla Avenue, , ,Peterborough,K9J5Z3, ,20200403204244
-79.3123930639999,43.6856297940001,164,127906532,2652,Pharmacy,RP,Main Drug Mart, , , ,2091 Danforth Avenue, , ,Toronto,M4C1J8, ,20200403204244
-89.269330173,48.424740861,165,127906533,2653,Pharmacy,HOPD,Pharmacy Department, , , ,980 Oliver Road,Thunder Bay Reg Hlth Sci Centr, ,Thunder Bay,P7B6V4, ,20200403204244
-79.551080242,43.6995007850001,166,127906534,2655,Pharmacy,AS,The Allergy Clinic, , , ,22 Kingsview Boulevard, , ,Toronto,M9R1T6, ,20200403204244
-77.795969231,44.307921272,167,127906535,2659,Pharmacy,RP,Mac Laren Pharmacy, , , ,79 Bridge Street East, , ,Campbellford,K0L1L0, ,20200403204244
-79.3223061749999,43.775089909,168,127906536,2665,Pharmacy,RP,Shoppers Drug Mart 1509, , , ,2901 Sheppard Avenue East, , ,Toronto,M1T3J3, ,20200403204244
-75.735523348,45.3867692470001,170,127906538,6653,Pharmacy,RP,Shoppers Drug Mart #628, , , ,1309 Carling Avenue, , ,Ottawa,K1Z7L3, ,20200403204244
-79.336258075,43.7239064,173,127906541,6663,Pharmacy,RP,One Medical Pharmacy, , , ,20 Wynford Drive,Unit 120, ,Toronto,M3C1J4, ,20200403204244
-81.003005781,46.453253074,174,127906542,6665,Pharmacy,RP,Plaza 69-Shoppers Drug Mart, , , ,1935 Paris Street, , ,Greater Sudbury,P3E3C6, ,20200403204244
-76.5583154239999,44.2575256170001,176,127906544,6670,Pharmacy,RP,Shoppers Drug Mart #1429, , , ,2437 Princess Street,Unit 100, ,Kingston,K7M3G1, ,20200403204244
-78.737400739,44.3552591370001,177,127906545,6671,Pharmacy,RP,Shoppers Drug Mart #948, , , ,74 Kent Street West, , ,Kawartha Lakes,K9V2Y4, ,20200403204244
-74.7039985759999,45.0274964280001,178,127906546,6672,Pharmacy,RP,Shoppers Drug Mart #1542, , , ,1380 2nd Street East, , ,Cornwall,K6H2B8, ,20200403204244
-75.691805237,45.429449656,179,127906547,6674,Pharmacy,RP,Shoppers Drug Mart#1273, , , ,298 Dalhousie Street, , ,Ottawa,K1N7E7, ,20200403204244
-79.4480177409999,44.0617767530001,180,127906548,6676,Pharmacy,RP,Medi-Mart Pharmacy, , , ,712 Davis Drive, , ,Newmarket,L3Y8C3, ,20200403204244
-93.843708993,48.6319683500001,181,127906549,6679,Pharmacy,LTCF,Emo Health Centre-Eldcap Beds, , , ,260 Front Street, , ,Emo,P0W1E0, ,20200403204244
-79.893587746,43.650060061,182,127906550,6680,Pharmacy,RP,Shoppers Drug Mart 707, , , ,265 Guelph Street,A, ,Halton Hills,L7G4B1, ,20200403204244
-79.7784483039999,43.5837856540001,184,127906552,6683,Pharmacy,RP,Metro Pharmacy #554, , , ,3221 Derry Road West, , ,Mississauga,L5N7L7, ,20200403204244
-79.304962465,43.7205513010001,186,127906554,6689,Pharmacy,LTCF,Harmony Hills Care Community, , , ,1800 O'Connor Drive,O'connor Court, ,Toronto,M4A1W7, ,20200403204244
-75.6684229259999,45.3970293520001,187,127906555,6690,Pharmacy,RP,Specialty Rx, , , ,1919 Riverside Drive,Unit 102, ,Ottawa,K1H1A2, ,20200403204244
-79.594494142,43.5468509570001,188,127906556,6692,Pharmacy,RP,Loblaw Pharmacy #1090, , , ,250 Lakeshore Road West, , ,Mississauga,L5H1G3, ,20200403204244
-79.265728958,43.787602414,192,127906560,6698,Pharmacy,RP,Sheppard Pharmacy, , , ,4465 Sheppard Avenue East,Unit 13A, ,Toronto,M1S5H9, ,20200403204244
